Primary Clustering,,,Second Clustering,,,Comparison Values,,,Graph Tables,
Cluster 0,,,Cluster 0,,,Comparison Values,,,Primary Cluster 0 Table,
"BHASKARA, A.","[455, 289, 112, 41, 28, 43]",,"KAVAN, L.",Computer graphics and animation.,,jshat,0.1718018158885032,,Secondary Cluster Index,Count,
"BERZINS, M.","[253, 179, 65, 35, 25, 25]",,"ZACHARY, J. L.","""I do research into the application of computers to education, and I teach extensively at the undergraduate and graduate levels.""",,purity,0.35714285714285715,,0,4,
"YUKSEL, C.","[468, 257, 139, 60, 39, 25]",,"REGEHR, J.","""Embedded systems, sensor networks, static analysis, real-time systems, operating systems""",,fowlkes mallows index,0.27729699411687553,,1,0,
"SUNDAR, H.","[423, 255, 95, 48, 57, 22]",,"BERZINS, M.",My research area is the study of novel computational algorithms for the numerical solution of partial differential equations (p.d.e.s).,,,,,2,0,
"HOLLERBACH, J. M.","[290, 217, 66, 20, 25, 23]",,"Kessler, B.",Systems software and software engineering,,,,,3,0,
"HANSEN, C. D.","[541, 384, 189, 84, 41, 58]",,"YUKSEL, C.","""Computer Graphics -- physically-based simulation, image synthesis, GPU algorithms.""",,,,,4,0,
"DE ST GERMAIN, H. J.","[2877, 2100, 604, 179, 119, 154]",,"WIESE, J.","""Personal data, HCI""",,,,,5,0,
"DENNING, T.","[253, 178, 76, 40, 36, 25]",,"HENDERSON, T. C.",The long range goals of my research are to contribute to the understanding of human intelligence and to participate in the development of intelligent machine systems.,,,,,6,0,
,,,"Jones, B.","""Computer graphics, physical simulation""",,,,,7,1,
Cluster 1,,,"VAN DER MERWE, J. E.","""Networking systems research including network management, control and operation, mobile networking, network evolution, network security and cloud computing.""",,,,,8,1,
"BROWN, S. M.","[0, 0, 0, 0, 0, 0]",,"HANSEN, C. D.","""Visualization, computer graphics, parallel computation, computer vision""",,,,,9,0,
"JOHNSON, C. R.","[0, 0, 0, 0, 0, 0]",,"DENNING, T.","""Security and Privacy, Human-Centric Computing""",,,,,10,0,
"Cardona-Rivera, R.","[0, 0, 0, 0, 0, 0]",,"Hermans, T.",Autonomous learning and perception in robots,,,,,11,0,
"Kessler, B.","[0, 0, 0, 0, 0, 0]",,,,,,,,12,1,
"ZHE, S.","[0, 0, 0, 0, 0, 0]",,Cluster 1,,,,,,13,1,
"Bojnordi, M.","[0, 0, 0, 0, 0, 0]",,"HALL, M. W.","""Our research focuses on compiler-based approaches to obtaining high performance on state-of-the-art and experimental architectures, including multi-cores""",,,,,14,0,
"Young, R.","[0, 0, 0, 0, 0, 0]",,"KASERA, S. K.","""Networks and systems - technologies, protocols and applications encompassing mobile and pervasive systems and wireless networks, network security and reliability""",
"LI, F.","[0, 0, 0, 0, 0, 0]",,"STUTSMAN, R.","""Distributed Systems, Operating Systems, and Databases""",,,,,Primary Cluster 1 Table,
"Jones, B.","[0, 0, 0, 0, 0, 0]",,"Bojnordi, M.","""Computer architecture, new memory technologies, high-performance memory systems, and energy-efficient computing.""",,,,,Secondary Cluster Index,Count,
"Ramalingam, S.","[0, 0, 0, 0, 0, 0]",,"BRUNVAND, E. L.",Computer architecture and VLSI systems,,,,,0,3,
"Hermans, T.","[0, 0, 0, 0, 0, 0]",,"KOPTA, D. M.","""Ray tracing, computer graphics, computer architecture""",,,,,1,2,
,,,"LI, F.","""Database systems and large-scale data management systems for various data sources, formats, applications, and data processing environments. Security issues in data management.""",,,,,2,1,
Cluster 2,,,,,,,,,3,0,
"STUTSMAN, R.","[758, 141, 16, 1, 0, 14]",,Cluster 2,,,,,,4,0,
"WHITAKER, R. T.","[244, 71, 3, 0, 0, 13]",,"BROWN, S. M.",Chemical Sensors; Neural Interfaces; Electronic Circuit Clocking; Circuit Design; High Performance Microprocessors; Mixed Signal Microprocessors; Biomedical Implants.,,,,,5,0,
"FLATT, M.","[2207, 474, 70, 9, 3, 40]",,,,,,,,6,0,
,,,Cluster 3,,,,,,7,0,
Cluster 3,,,"FLATT, M.",Practical and theoretical aspects of programming languages and programming environments.,,,,,8,1,
"GOPALAKRISHNAN, G.","[559, 561, 332, 163, 137, 194]",,,,,,,,9,2,
"HALL, M. W.","[302, 239, 158, 103, 116, 172]",,Cluster 4,,,,,,10,0,
"COHEN, E.","[347, 344, 205, 123, 106, 203]",,"PHILLIPS, J.","""Algorithms for Data Analytics: Handling Uncertainty, Computational Geometry, Data Mining, Machine Learning, Computational Statistics, Databases""",,,,,11,2,
,,,,,,,,,12,0,
Cluster 4,,,Cluster 5,,,,,,13,0,
"KAVAN, L.","[241, 109, 22, 3, 1, 0]",,"JENSEN, P. A.",na,,,,,14,0,
"ZACHARY, J. L.","[6443, 2632, 568, 126, 118, 123]",,"PARKER, D.",na,
"SRIKUMAR, V.","[1593, 585, 89, 33, 19, 59]",,,,,,,,Primary Cluster 2 Table,
"REGEHR, J.","[691, 293, 70, 12, 3, 6]",,Cluster 6,,,,,,Secondary Cluster Index,Count,
"KASERA, S. K.","[502, 227, 24, 8, 7, 7]",,"JOHNSON, D. E.","""Geometric computation, haptics, robotics, educational research""",,,,,0,0,
"JENSEN, P. A.","[3737, 1372, 314, 142, 39, 79]",,"COHEN, E.","""Problems in modeling, graphics, and visualization which require geometric computation and analysis.""",,,,,1,1,
"PHILLIPS, J.","[1255, 562, 131, 31, 16, 56]",,,,,,,,2,0,
"RILOFF, E. M.","[762, 343, 77, 30, 8, 3]",,Cluster 7,,,,,,3,1,
"JOHNSON, D. E.","[3779, 2278, 467, 82, 94, 111]",,"DE ST GERMAIN, H. J.","""Reverse Engineering and Constraint Optimization, Artificial Intelligence, technological aids for education""",,,,,4,0,
"HENDERSON, T. C.","[444, 235, 83, 40, 27, 18]",,"RILOFF, E. M.","""Natural language processing, information retrieval, and artificial intelligence""",,,,,5,0,
"PARKER, D.","[3068, 1461, 470, 144, 162, 268]",,,,,,,,6,0,
"BRUNVAND, E. L.","[318, 156, 35, 6, 0, 2]",,Cluster 8,,,,,,7,0,
"KOPTA, D. M.","[1952, 790, 152, 28, 5, 21]",,"SUNDAR, H.",Parallel algorithms; scientific computing; inverse problems; soft tissue and cardiovascular mechanics; image analysis,,,,,8,1,
"VAN DER MERWE, J. E.","[1238, 510, 135, 57, 16, 21]",,"WHITAKER, R. T.","""Image processing, medical image analysis, data analysis and visualization, geometry processing""",,,,,9,0,
"VENKATASUBRAMANIAN, S.","[1041, 437, 156, 44, 29, 27]",,"JOHNSON, C. R.",Scientific Computing and Visualization,,,,,10,0,
,,,"KIRBY II, R. M.",Scientific computing and visualization,,,,,11,0,
Cluster 5,,,,,,,,,12,0,
"WIESE, J.","[112, 114, 40, 21, 18, 34]",,Cluster 9,,,,,,13,0,
"KIRBY II, R. M.","[240, 304, 144, 76, 60, 59]",,"Ramalingam, S.","""Computer Vision, Machine Learning, Robotics (Autonomous Driving applications), and Discrete Optimization""",,,,,14,0,
,,,"ZHE, S.","""Probabilistic graphical models, Bayesian nonparametric, approximate inference, Bayesian deep learning, sparse learning, large-scale machine learning and kernel methods.""",
,,,"SRIKUMAR, V.",Machine Learning; Natural Language Processing,,,,,Primary Cluster 3 Table,
,,,,,,,,,Secondary Cluster Index,Count,
,,,Cluster 10,,,,,,0,0,
,,,"GOPALAKRISHNAN, G.","""Dynamic formal verification of message passing (MPI) and thread programs, formal analysis/verification of protocols, Verification tool development""",,,,,1,1,
,,,,,,,,,2,0,
,,,Cluster 11,,,,,,3,0,
,,,"Cardona-Rivera, R.","""Computational psychology, artificial intelligence, game design, interactive narrative""",,,,,4,0,
,,,"Young, R.","""Artificial Intelligence, Video games, Interactive narrative""",,,,,5,0,
,,,,,,,,,6,1,
,,,Cluster 12,,,,,,7,0,
,,,"BHASKARA, A.",Theoretical computer science and machine learning.,,,,,8,0,
,,,,,,,,,9,0,
,,,Cluster 13,,,,,,10,1,
,,,"HOLLERBACH, J. M.","""Robotics, teleoperation, virtual reality, and human motor control""",,,,,11,0,
,,,,,,,,,12,0,
,,,Cluster 14,,,,,,13,0,
,,,"VENKATASUBRAMANIAN, S.","""I work in algorithms and computational geometry, with a current focus on data mining and large-data (and large-dimension) geometric questions.""",,,,,14,0,

,,,,,,,,,Primary Cluster 4 Table,
,,,,,,,,,Secondary Cluster Index,Count,
,,,,,,,,,0,5,
,,,,,,,,,1,3,
,,,,,,,,,2,0,
,,,,,,,,,3,0,
,,,,,,,,,4,1,
,,,,,,,,,5,2,
,,,,,,,,,6,1,
,,,,,,,,,7,1,
,,,,,,,,,8,0,
,,,,,,,,,9,1,
,,,,,,,,,10,0,
,,,,,,,,,11,0,
,,,,,,,,,12,0,
,,,,,,,,,13,0,
,,,,,,,,,14,1,

,,,,,,,,,Primary Cluster 5 Table,
,,,,,,,,,Secondary Cluster Index,Count,
,,,,,,,,,0,1,
,,,,,,,,,1,0,
,,,,,,,,,2,0,
,,,,,,,,,3,0,
,,,,,,,,,4,0,
,,,,,,,,,5,0,
,,,,,,,,,6,0,
,,,,,,,,,7,0,
,,,,,,,,,8,1,
,,,,,,,,,9,0,
,,,,,,,,,10,0,
,,,,,,,,,11,0,
