Catalog Num,Course Level,Grade Group,Section,Subject,sumHeadcount,Semester,Instructor
1030,1000-1999,Other,1,CS - Computer Science,1,F2018,"PARKER, D."
1030,1000-1999,W,1,CS - Computer Science,8,F2018,"PARKER, D."
1030,1000-1999,E,1,CS - Computer Science,11,F2018,"PARKER, D."
1030,1000-1999,D,1,CS - Computer Science,11,F2018,"PARKER, D."
1030,1000-1999,C,1,CS - Computer Science,23,F2018,"PARKER, D."
1030,1000-1999,B,1,CS - Computer Science,56,F2018,"PARKER, D."
1030,1000-1999,A,1,CS - Computer Science,62,F2018,"PARKER, D."
1410,1000-1999,Other,50,CS - Computer Science,1,F2018,"ZACHARY, J. L."
1410,1000-1999,W,50,CS - Computer Science,9,F2018,"ZACHARY, J. L."
1410,1000-1999,W,40,CS - Computer Science,3,F2018,"JENSEN, P. A."
1410,1000-1999,W,30,CS - Computer Science,2,F2018,"JENSEN, P. A."
1410,1000-1999,W,1,CS - Computer Science,31,F2018,"ZACHARY, J. L."
1410,1000-1999,E,50,CS - Computer Science,12,F2018,"ZACHARY, J. L."
1410,1000-1999,E,40,CS - Computer Science,1,F2018,"JENSEN, P. A."
1410,1000-1999,E,30,CS - Computer Science,2,F2018,"JENSEN, P. A."
1410,1000-1999,E,1,CS - Computer Science,43,F2018,"ZACHARY, J. L."
1410,1000-1999,D,50,CS - Computer Science,1,F2018,"ZACHARY, J. L."
1410,1000-1999,D,40,CS - Computer Science,2,F2018,"JENSEN, P. A."
1410,1000-1999,D,30,CS - Computer Science,5,F2018,"JENSEN, P. A."
1410,1000-1999,D,1,CS - Computer Science,15,F2018,"ZACHARY, J. L."
1410,1000-1999,C,50,CS - Computer Science,6,F2018,"ZACHARY, J. L."
1410,1000-1999,C,40,CS - Computer Science,5,F2018,"JENSEN, P. A."
1410,1000-1999,C,30,CS - Computer Science,5,F2018,"JENSEN, P. A."
1410,1000-1999,C,1,CS - Computer Science,20,F2018,"ZACHARY, J. L."
1410,1000-1999,B,50,CS - Computer Science,14,F2018,"ZACHARY, J. L."
1410,1000-1999,B,40,CS - Computer Science,9,F2018,"JENSEN, P. A."
1410,1000-1999,B,30,CS - Computer Science,13,F2018,"JENSEN, P. A."
1410,1000-1999,B,1,CS - Computer Science,69,F2018,"ZACHARY, J. L."
1410,1000-1999,A,50,CS - Computer Science,21,F2018,"ZACHARY, J. L."
1410,1000-1999,A,40,CS - Computer Science,22,F2018,"JENSEN, P. A."
1410,1000-1999,A,30,CS - Computer Science,36,F2018,"JENSEN, P. A."
1410,1000-1999,A,1,CS - Computer Science,106,F2018,"ZACHARY, J. L."
2100,2000-2999,W,1,CS - Computer Science,11,F2018,"PARKER, D."
2100,2000-2999,E,1,CS - Computer Science,16,F2018,"PARKER, D."
2100,2000-2999,D,1,CS - Computer Science,9,F2018,"PARKER, D."
2100,2000-2999,C,1,CS - Computer Science,42,F2018,"PARKER, D."
2100,2000-2999,B,1,CS - Computer Science,88,F2018,"PARKER, D."
2100,2000-2999,A,1,CS - Computer Science,43,F2018,"PARKER, D."
2420,2000-2999,W,1,CS - Computer Science,9,F2018,"KOPTA, D. M."
2420,2000-2999,E,1,CS - Computer Science,17,F2018,"KOPTA, D. M."
2420,2000-2999,D,1,CS - Computer Science,15,F2018,"KOPTA, D. M."
2420,2000-2999,C,1,CS - Computer Science,41,F2018,"KOPTA, D. M."
2420,2000-2999,B,1,CS - Computer Science,110,F2018,"KOPTA, D. M."
2420,2000-2999,A,1,CS - Computer Science,81,F2018,"KOPTA, D. M."
3020,3000-3999,B,1,CS - Computer Science,12,F2018,"WHITAKER, R. T."
3020,3000-3999,A,1,CS - Computer Science,26,F2018,"WHITAKER, R. T."
3100,3000-3999,W,1,CS - Computer Science,8,F2018,"GOPALAKRISHNAN, G."
3100,3000-3999,E,1,CS - Computer Science,6,F2018,"GOPALAKRISHNAN, G."
3100,3000-3999,D,1,CS - Computer Science,1,F2018,"GOPALAKRISHNAN, G."
3100,3000-3999,C,1,CS - Computer Science,6,F2018,"GOPALAKRISHNAN, G."
3100,3000-3999,B,1,CS - Computer Science,74,F2018,"GOPALAKRISHNAN, G."
3100,3000-3999,A,1,CS - Computer Science,44,F2018,"GOPALAKRISHNAN, G."
3130,3000-3999,W,1,CS - Computer Science,13,F2018,"HEITMAN, Z. W."
3130,3000-3999,E,1,CS - Computer Science,4,F2018,"HEITMAN, Z. W."
3130,3000-3999,D,1,CS - Computer Science,1,F2018,"HEITMAN, Z. W."
3130,3000-3999,C,1,CS - Computer Science,21,F2018,"HEITMAN, Z. W."
3130,3000-3999,B,1,CS - Computer Science,36,F2018,"HEITMAN, Z. W."
3130,3000-3999,A,1,CS - Computer Science,36,F2018,"HEITMAN, Z. W."
3190,3000-3999,W,1,CS - Computer Science,1,F2018,"ZHE, S."
3190,3000-3999,E,1,CS - Computer Science,1,F2018,"ZHE, S."
3190,3000-3999,B,1,CS - Computer Science,6,F2018,"ZHE, S."
3190,3000-3999,A,1,CS - Computer Science,42,F2018,"ZHE, S."
3500,3000-3999,W,1,CS - Computer Science,8,F2018,"KOPTA, D. M."
3500,3000-3999,E,1,CS - Computer Science,9,F2018,"KOPTA, D. M."
3500,3000-3999,D,1,CS - Computer Science,4,F2018,"KOPTA, D. M."
