Catalog Num,Course Level,Grade Group,Section,Subject,sumHeadcount,Semester,Instructor
1000,1000-1999,Other,1,CS - Computer Science,1,S2018,"DE ST GERMAIN, J. D."
1000,1000-1999,W,1,CS - Computer Science,6,S2018,"DE ST GERMAIN, J. D."
1000,1000-1999,E,1,CS - Computer Science,4,S2018,"DE ST GERMAIN, J. D."
1000,1000-1999,D,1,CS - Computer Science,2,S2018,"DE ST GERMAIN, J. D."
1000,1000-1999,C,1,CS - Computer Science,5,S2018,"DE ST GERMAIN, J. D."
1000,1000-1999,B,1,CS - Computer Science,10,S2018,"DE ST GERMAIN, J. D."
1000,1000-1999,A,1,CS - Computer Science,6,S2018,"DE ST GERMAIN, J. D."
1001,1000-1999,E,1,CS - Computer Science,3,S2018,"DE ST GERMAIN, J. D."
1001,1000-1999,D,1,CS - Computer Science,1,S2018,"DE ST GERMAIN, J. D."
1001,1000-1999,C,1,CS - Computer Science,7,S2018,"DE ST GERMAIN, J. D."
1001,1000-1999,B,1,CS - Computer Science,12,S2018,"DE ST GERMAIN, J. D."
1001,1000-1999,A,1,CS - Computer Science,7,S2018,"DE ST GERMAIN, J. D."
1030,1000-1999,W,1,CS - Computer Science,8,S2018,"JENSEN, P. A."
1030,1000-1999,E,1,CS - Computer Science,3,S2018,"JENSEN, P. A."
1030,1000-1999,D,1,CS - Computer Science,6,S2018,"JENSEN, P. A."
1030,1000-1999,C,1,CS - Computer Science,12,S2018,"JENSEN, P. A."
1030,1000-1999,B,1,CS - Computer Science,22,S2018,"JENSEN, P. A."
1030,1000-1999,A,1,CS - Computer Science,63,S2018,"JENSEN, P. A."
1410,1000-1999,Other,1,CS - Computer Science,2,S2018,"JOHNSON, D. E."
1410,1000-1999,W,1,CS - Computer Science,19,S2018,"JOHNSON, D. E."
1410,1000-1999,E,1,CS - Computer Science,39,S2018,"JOHNSON, D. E."
1410,1000-1999,D,1,CS - Computer Science,14,S2018,"JOHNSON, D. E."
1410,1000-1999,C,1,CS - Computer Science,33,S2018,"JOHNSON, D. E."
1410,1000-1999,B,1,CS - Computer Science,70,S2018,"JOHNSON, D. E."
1410,1000-1999,A,1,CS - Computer Science,90,S2018,"JOHNSON, D. E."
2050,2000-2999,W,1,CS - Computer Science,1,S2018,"BRUNVAND, E. L."
2050,2000-2999,E,1,CS - Computer Science,1,S2018,"BRUNVAND, E. L."
2050,2000-2999,C,1,CS - Computer Science,3,S2018,"BRUNVAND, E. L."
2050,2000-2999,B,1,CS - Computer Science,3,S2018,"BRUNVAND, E. L."
2050,2000-2999,A,1,CS - Computer Science,11,S2018,"BRUNVAND, E. L."
2100,2000-2999,W,1,CS - Computer Science,11,S2018,"COHEN, E."
2100,2000-2999,E,1,CS - Computer Science,18,S2018,"COHEN, E."
2100,2000-2999,D,1,CS - Computer Science,13,S2018,"COHEN, E."
2100,2000-2999,C,1,CS - Computer Science,29,S2018,"COHEN, E."
2100,2000-2999,B,1,CS - Computer Science,48,S2018,"COHEN, E."
2100,2000-2999,A,1,CS - Computer Science,58,S2018,"COHEN, E."
2420,2000-2999,W,1,CS - Computer Science,32,S2018,"MEYER, M. D. AND PARKER, D."
2420,2000-2999,E,1,CS - Computer Science,42,S2018,"MEYER, M. D. AND PARKER, D."
2420,2000-2999,D,1,CS - Computer Science,18,S2018,"MEYER, M. D. AND PARKER, D."
2420,2000-2999,C,1,CS - Computer Science,47,S2018,"MEYER, M. D. AND PARKER, D."
2420,2000-2999,B,1,CS - Computer Science,127,S2018,"MEYER, M. D. AND PARKER, D."
2420,2000-2999,A,1,CS - Computer Science,63,S2018,"MEYER, M. D. AND PARKER, D."
3011,3000-3999,E,1,CS - Computer Science,1,S2018,"VAN DER MERWE, J. E."
3011,3000-3999,D,1,CS - Computer Science,1,S2018,"VAN DER MERWE, J. E."
3011,3000-3999,B,1,CS - Computer Science,2,S2018,"VAN DER MERWE, J. E."
3011,3000-3999,A,1,CS - Computer Science,46,S2018,"VAN DER MERWE, J. E."
3130,3000-3999,W,1,CS - Computer Science,3,S2018,"PATWARI, N."
3130,3000-3999,E,1,CS - Computer Science,2,S2018,"PATWARI, N."
3130,3000-3999,D,1,CS - Computer Science,1,S2018,"PATWARI, N."
3130,3000-3999,C,1,CS - Computer Science,7,S2018,"PATWARI, N."
3130,3000-3999,B,1,CS - Computer Science,33,S2018,"PATWARI, N."
3130,3000-3999,A,1,CS - Computer Science,31,S2018,"PATWARI, N."
3200,3000-3999,Other,1,CS - Computer Science,1,S2018,"BERZINS, M."
3200,3000-3999,W,1,CS - Computer Science,6,S2018,"BERZINS, M."
3200,3000-3999,E,1,CS - Computer Science,1,S2018,"BERZINS, M."
3200,3000-3999,D,1,CS - Computer Science,1,S2018,"BERZINS, M."
3200,3000-3999,C,1,CS - Computer Science,3,S2018,"BERZINS, M."
3200,3000-3999,B,1,CS - Computer Science,17,S2018,"BERZINS, M."
3200,3000-3999,A,1,CS - Computer Science,54,S2018,"BERZINS, M."
3500,3000-3999,W,1,CS - Computer Science,10,S2018,"ZACHARY, J. L."
3500,3000-3999,E,1,CS - Computer Science,7,S2018,"ZACHARY, J. L."
