kmeansPP
Cluster1 Metric	Cluster1 Size	Cluster2 Metric	Cluster2 Size	JSHat	Purity	Fowlkes-Mallows Index
Could not get feedback for: BROWN,RICHARD B
Could not get feedback for: JOHNSON,CARTER
Could not get feedback for: LIU,FENG
Could not get feedback for: ZHE,SHANDIAN
Gender	 2 	Grade	 2 	 0.4517374517374517 	 0.8333333333333334 	 0.7308745778485847
Gender	 2 	Title	 2 	 0.46566110397946087 	 0.6190476190476191 	 0.6369381727432908
Gender	 2 	Wage	 2 	 0.4420849420849421 	 0.9761904761904762 	 0.8633503562257498
Grade	 2 	Title	 2 	 0.4564777327935223 	 0.6428571428571429 	 0.6405643318473071
Grade	 2 	Wage	 2 	 0.41904761904761906 	 0.9761904761904762 	 0.8238527544921507
Wage	 2 	Title	 2 	 0.4927409988385598 	 0.6190476190476191 	 0.7044458795997485
Research	 2 	Gender	 2 	 0.4229965156794425 	 0.8809523809523809 	 0.7407400460291927
Research	 2 	Grade	 2 	 0.42717770034843205 	 0.8333333333333334 	 0.6978380136543711
Research	 2 	Title	 2 	 0.4473684210526316 	 0.6190476190476191 	 0.6189507079667679
Research	 2 	Wage	 2 	 0.4771341463414634 	 0.9761904761904762 	 0.8418881501687696
Feedback	 2 	Wage	 2 	 0.42350332594235035 	 0.9761904761904762 	 0.7872232109942644
Feedback	 2 	Research	 2 	 0.4270833333333333 	 0.8095238095238095 	 0.6736703214997928
Feedback	 2 	Gender	 2 	 0.3901689708141321 	 0.8809523809523809 	 0.6693092086730937
Feedback	 2 	Grade	 2 	 0.761038961038961 	 0.9047619047619048 	 0.8738743988715869
Feedback	 2 	Title	 2 	 0.4230480480480481 	 0.6190476190476191 	 0.5795639959148264
Gender	 2 	Grade	 3 	 0.37139639639639643 	 0.7142857142857143 	 0.6865609872227364
Gender	 2 	Title	 3 	 0.3171052631578947 	 0.47619047619047616 	 0.5599874001475669
Gender	 2 	Wage	 3 	 0.31758884390463343 	 0.5 	 0.56243099313707
Grade	 3 	Title	 3 	 0.2889433551198257 	 0.5238095238095238 	 0.4799143059294177
Grade	 3 	Wage	 3 	 0.3055555555555555 	 0.5 	 0.47956174380271044
Wage	 3 	Title	 3 	 0.38172208013640235 	 0.7142857142857143 	 0.5283068947703904
Research	 3 	Gender	 2 	 0.30115830115830117 	 0.8809523809523809 	 0.7252938712899696
Research	 3 	Grade	 3 	 0.29829655439411534 	 0.7142857142857143 	 0.5989063578461333
Research	 3 	Title	 3 	 0.34191559981033665 	 0.47619047619047616 	 0.550022422225293
Research	 3 	Wage	 3 	 0.31003148897885735 	 0.5476190476190477 	 0.530927491333274
Feedback	 3 	Wage	 3 	 0.3196908602150537 	 0.5714285714285714 	 0.49538741938211883
Feedback	 3 	Research	 3 	 0.2354395604395604 	 0.8333333333333334 	 0.5576770205727096
Feedback	 3 	Gender	 2 	 0.3740990990990991 	 0.8809523809523809 	 0.6277720521646353
Feedback	 3 	Grade	 3 	 0.604978354978355 	 0.8095238095238095 	 0.7353777854391957
Feedback	 3 	Title	 3 	 0.2706569664902998 	 0.47619047619047616 	 0.41633286208423376
Gender	 2 	Grade	 4 	 0.2852358937885254 	 0.38095238095238093 	 0.5054599108624169
Gender	 2 	Title	 4 	 0.23836237553342815 	 0.47619047619047616 	 0.5166689040937237
Gender	 2 	Wage	 4 	 0.23549462924462924 	 0.47619047619047616 	 0.5767671115399245
Grade	 4 	Title	 4 	 0.21875 	 0.5 	 0.35612424406536775
Grade	 4 	Wage	 4 	 0.21407407407407406 	 0.5714285714285714 	 0.3788185290693115
Wage	 4 	Title	 4 	 0.33720095693779906 	 0.6428571428571429 	 0.5365982454366011
Research	 4 	Gender	 2 	 0.23263105852964644 	 0.8809523809523809 	 0.6171225823121639
Research	 4 	Grade	 4 	 0.2283088235294118 	 0.40476190476190477 	 0.38982158391230515
Research	 4 	Title	 4 	 0.28149801587301587 	 0.47619047619047616 	 0.43268159038730714
Research	 4 	Wage	 4 	 0.2518396439035384 	 0.5476190476190477 	 0.4836246177810963
Feedback	 4 	Wage	 4 	 0.21517255892255893 	 0.5238095238095238 	 0.38248578329752847
Feedback	 4 	Research	 4 	 0.1793417366946779 	 0.6904761904761905 	 0.39946991371446156
